ID,Label,Source,Type,Text,Retweet_count,Favorite_count,Hashtags_count,Urls_count,Mentions_count,Media_count,Symbols_count,Possibly_sensitive,Location,URL,Description_len,Verified,Ff_ratio,Follower_count,Friend_count,Statuses_count,Favourites_count,Listed_count,Account_age,Default_profile,Default_profile_image
732113301144883204,0,Twitter for Android,regular,Heads low hopes high~,0,0,0,0,0,0,0,0,Singapore ,1,66,0,0.939655172414,109,116,47997,13667,0,8,0,0
732113301182746624,0,Tweetbot for iΟS,retweet,RT @odinodin: I just made a tool for inspecting data in a Reagent app as a tree structure; data-frisk.  https://t.co/wWQz9YInP3,7,0,0,1,1,0,0,0,Oslo,1,57,0,1.03685503686,422,407,3724,879,42,9,1,0
732113301145014272,0,Twitter for Android,retweet,HAPPY BIRTHDAY JOSEPH 💓 @JosephMorgan,0,0,0,0,1,0,0,0,Poitiers  France,0,2,0,0.460606060606,228,495,2737,2548,0,3,1,0
732113301149089794,0,Twitter for iPad,retweet,RT @zeecinema: Yeh inka dopahar ka program hai! Are you watching Phir Hera Pheri #ZeeCinemaPar? https://t.co/3pkNahWls0,19,0,1,0,1,0,0,0,,0,156,0,4.41139240506,697,158,39293,198,19,3,1,0
732113301166039040,0,Twitter for Android,regular,Current mood: https://t.co/a0ENqZgKVz,0,0,0,0,0,0,0,0,Bilbao  España,0,111,0,6.23076923077,243,39,13614,296,2,7,0,0
732113305376940032,0,Twitter for Android,retweet,RT @iitian_kshitij: Actually they have become middle man too ! https://t.co/RqDq8X6LFU,7,0,0,1,1,0,0,0,Pluto ,0,102,0,3.19504643963,1032,323,42338,4851,45,8,1,0
732113305347612672,0,Twitter for iPhone,reply,@JaimesonPaul lock all windows and doors don't investigate odd noises and make sure your cell phone is charged you'll be fine. Sweet dreams!,0,0,0,0,1,0,0,0,DC ,1,155,0,1.5696969697,1554,990,86773,281238,78,6,1,0
732113305364508672,0,Instagram,regular,Eastern delights #cool #instafollow #instafollow #instapic #instadaily #lebanon #lebanon_hdr… https://t.co/Ab2yVNPtaC,0,0,7,1,0,0,0,0,London UK,1,85,0,0.672823218997,510,758,6399,130,55,5,0,0
732113305343426560,1,Twitter for iPhone,regular,Same 😭 https://t.co/1GHDWGWzrC,0,1,0,1,0,0,0,0,Los Angeles  CA,0,19,0,4.04377104377,1201,297,28937,6850,24,5,0,0
732113305347706880,0,Twitter for iPad,retweet,RT @TheaQueens_: Gorgeous 💛✨. #SinemKobal https://t.co/Wgf9q3OB22,10,0,1,0,1,0,0,0,,1,52,0,20.2712643678,8818,435,120298,7376,41,5,0,0
